"","a.clustering"
"1",1
"2",1
"3",2
"4",1
"5",2
"6",1
"8",1
"9",1
"10",2
"11",2
"12",1
"13",2
"14",2
"15",1
"16",1
"17",1
"18",1
"19",1
"20",2
"21",1
"22",2
"23",1
"24",2
"25",1
"26",1
"28",2
"29",2
"30",2
"31",2
"32",1
"33",2
"34",1
"35",1
"36",1
"37",1
"38",1
"39",2
"40",2
"41",1
"42",2
"43",2
"44",1
"45",2
"46",1
"47",1
"48",1
"49",1
"50",1
"51",1
"52",2
"53",1
"54",2
"56",1
"57",1
"59",2
"60",2
"61",2
"62",1
"63",1
"64",2
"65",1
"66",2
"67",1
"68",1
"69",1
"70",2
"71",2
"72",1
"73",2
"74",2
"75",1
"76",1
"77",1
"78",2
"79",2
"80",1
"81",2
"82",1
"83",2
"84",2
"86",1
"87",1
"88",1
"89",2
"90",1
"91",2
"92",2
"93",2
"95",1
"96",1
"97",2
"98",1
"99",2
"100",2
"101",2
"102",1
"103",1
"104",1
"105",2
"106",2
"107",1
"109",2
"110",1
"111",1
"112",1
"113",1
"114",1
"115",1
"116",1
"117",1
"118",1
"119",1
"120",1
"121",1
"122",2
"123",2
"124",1
"125",1
"126",2
"127",2
"128",1
"129",2
"130",1
"131",1
"132",1
"133",1
"134",1
"135",1
"136",1
"137",1
"138",1
"139",2
"140",1
"141",2
"143",2
"144",1
"145",1
"146",2
"147",1
"148",1
"149",1
"150",2
"151",2
"153",2
"155",2
"156",2
"157",2
"158",1
"159",1
"160",1
"161",2
"162",2
"164",1
"165",2
"166",1
"167",1
"168",1
"169",2
"170",1
"171",2
"172",1
"173",2
"174",1
"175",1
"176",1
"177",2
"178",1
"179",2
"180",2
"181",1
"182",1
"183",2
"184",2
"185",1
"186",2
"187",1
"188",1
"189",2
"190",2
"191",1
"194",2
"195",1
"196",2
"197",1
"199",2
"200",1
"202",1
"203",2
"204",1
"205",1
"206",1
"207",1
"208",2
"209",2
"210",2
"211",1
"212",2
"213",1
"214",2
"215",1
"216",1
"217",1
"218",1
"219",1
"220",1
"221",1
"222",1
"223",1
"224",1
"225",1
"226",1
"227",1
"228",2
"229",2
"230",2
"232",2
"233",1
"234",1
"235",1
"237",1
"238",1
"239",2
"241",2
"242",2
"244",2
"245",2
"246",1
"247",1
"248",1
"249",2
"250",1
"253",1
"255",1
"258",1
"259",2
"260",1
"261",1
"263",2
"264",2
"265",2
"266",1
"267",1
"268",2
"269",1
"270",2
"271",2
"272",1
"273",1
"275",1
"276",1
"277",1
"278",1
"279",1
"280",1
"283",2
"284",2
"285",1
"286",2
"287",1
"288",1
"289",1
"290",1
"291",1
"292",1
"293",1
"294",2
"295",1
"296",1
"297",2
"298",2
"299",1
"300",1
"301",1
"302",2
"303",1
"304",1
"305",1
"306",2
"307",2
"308",1
"309",1
"310",1
"311",2
"312",1
"313",1
"314",1
"315",2
"316",2
"318",1
"319",1
"320",1
"321",1
"322",2
"323",1
"324",1
"325",1
"326",1
"327",1
"329",1
"330",1
"331",2
"333",1
"334",1
"335",1
"336",1
"337",2
"338",1
"339",2
"341",1
"342",1
"343",2
"344",1
"345",2
"346",1
"347",1
"348",1
"350",2
"351",1
"352",2
"353",1
"354",1
"356",1
"357",1
"358",1
"359",1
"360",2
"361",1
"362",1
"363",2
"365",2
"366",1
"367",2
"368",2
"369",1
"370",2
"374",1
"375",2
"376",1
"377",1
"378",2
"379",1
"380",1
"381",1
"382",2
"383",2
"384",2
"385",1
"387",1
"388",1
"389",1
"390",2
"391",1
"392",1
"393",2
"394",2
"395",1
"397",1
"398",1
"399",1
"400",1
"402",1
"403",2
"404",2
"405",2
"406",2
"407",1
"408",1
"409",1
"410",2
"411",1
"413",1
"414",1
"415",1
"416",2
"417",1
"418",1
"419",1
"420",2
"421",2
"422",2
"428",2
"429",1
"430",2
"432",2
"433",2
"434",1
"435",1
"436",1
"437",2
"438",1
"439",1
"440",1
"441",2
"442",2
"444",1
"445",1
"446",2
"447",1
"448",2
"449",1
"451",2
"452",1
"453",2
"455",1
"456",1
"457",1
"458",2
"459",2
"460",1
"461",2
"464",1
"465",1
"466",2
"467",1
"468",1
"469",2
"470",2
"472",1
"473",1
"474",1
"475",2
"476",2
"477",2
"479",1
"480",2
"482",2
"484",2
"485",1
"486",2
"487",1
"488",1
"490",1
"492",1
"493",2
"494",1
"495",2
"496",1
"497",2
"498",1
"499",2
"500",1
"501",2
"502",1
"503",2
"504",2
"505",2
"506",2
"508",2
"509",2
"510",1
"511",2
"512",2
"513",1
"514",1
"515",2
"516",1
"517",1
"518",2
"519",2
"520",2
"521",1
"523",1
"524",2
"525",2
"526",1
"527",1
"528",1
"529",1
"530",1
"531",1
"532",1
"533",2
"535",1
"536",1
"537",1
"538",2
"539",2
"540",2
"541",2
"542",2
